step	dice_multi
0	0.4960867577193497
1	0.4960867577193497
2	0.8769757350278762
3	0.8763313030019604
4	0.8934307759686853
5	0.9037372128679036
6	0.9077612411014553
7	0.908386267689042
8	0.9085978559063357
